id,code_desembarque,landing_port
2198,603,ZEEBRUGGE
2199,604,GHENT
2200,605,OOSTENDE
2201,611,LISBOA
2202,612,OTROS PUERTOS DE PORTUGAL NO E
2203,613,SETUBAL
2204,621,AMSTERDAM
2205,622,ROTTERDAM
2206,623,OTROS PUERTOS DE HOLANDA NO ES
2207,631,GOTEMBURGO
2208,632,OTROS PUERTOS DE SUECIA NO ESP
2209,633,MALMO
2210,634,HELSIMBORG
2211,635,KALMAR
2212,641,AARHUS
2213,642,COPENHAGEN
2214,643,OTROS PUERTOS DE DINAMARCA NO
2215,644,AALBORG
2216,645,ODENSE
2217,651,OSLO
2218,652,OTROS PUERTOS DE NORUEGA NO ES
2219,653,STAVANGER
2220,699,OTROS PUERTOS DE EUROPA NO ESP
2221,711,DURBAM
2222,712,CIUDAD DEL CABO
2223,713,OTROS PUERTOS DE SUDAFRICA NO
2224,714,SALDANHA
2225,715,PORT-ELIZABETH
2226,716,MOSSEL-BAY
2227,717,EAST-LONDON
2228,799,OTROS PUERTOS DE AFRICA NO ESP
2229,811,SIDNEY
2230,812,FREMANTLE
2231,813,OTROS PUERTOS DE AUSTRALIA NO
2232,814,ADELAIDA
2233,815,DARWIN
2234,816,GERALDTON
2235,899,OTROS PUERTOS DE OCEANIA NO
2236,900,RANCHO DE NAVES Y AERONAVES DE
2237,901,ARICA
2238,902,IQUIQUE
2239,903,ANTOFAGASTA
2240,904,COQUIMBO
2241,905,VALPARAISO
2242,906,SAN ANTONIO
2243,907,TALCAHUANO
2244,908,SAN VICENTE
2245,909,LIRQUEN
2246,910,PUERTO MONTT
2247,911,CHACABUCO/PTO.AYSEN
2248,912,PUNTA ARENAS
2249,913,PATILLOS
2250,914,TOCOPILLA
2251,915,MEJILLONES
2252,916,TALTAL
2253,917,CHANARAL/BARQUITO
2254,918,CALDERA
2255,919,CALDERILLA
2256,920,HUASCO/GUACOLDA
2257,921,QUINTERO
2258,922,JUAN FERNANDEZ
2259,923,CONSTUTUCION
2260,924,TOME
2261,925,PENCO
2262,926,CORONEL
2263,927,LOTA
2264,928,LEBU
2265,929,ISLA DE PASCUA
2266,930,CORRAL
2267,931,ANCUD
2268,932,CASTRO
2269,933,QUELLON
2270,934,CHAITEN
2271,935,TORTEL
2272,936,NATALES
2273,937,GUARELLO
2274,938,CUTTER COVE
2275,939,PERCY
2276,940,CLARENCIA
2277,941,GREGORIO
2278,942,CABO NEGRO
2279,943,PUERTO WILLIAMS
2280,944,TERRITORIO ANTARTICO CHILENO
2281,945,SALINAS
2282,946,GUAYACAN
2283,947,PUNTA DELGADA
2284,948,VENTANAS
2285,949,PINO HACHADO(LIUCURA
2286,950,CALETA COLOSO
2287,951,AGUAS NEGRAS
2288,952,ZONA FRANCA IQUIQUE
2289,953,ZONA FRANCA PUNTA ARENAS
2290,954,RIO MAYER
2291,955,RIO MOSCO
2292,956,VISVIRI
2293,957,CHACALLUTA
2294,958,CHUNGARA
2295,959,COLCHANE
2296,960,ABRA DE NAPA
2297,961,OLLAGUE
2298,962,SAN PEDRO DE ATACAMA
2299,963,SOCOMPA
2300,964,SAN FRANCISCO
2301,965,LOS LIBERTADORES
2302,966,MAHUIL MALAL
2303,967,CARDENAL SAMORE
2304,968,PEREZ ROSALES
2305,969,FUTALEUFU
2306,970,PALENA-CARRENLEUFU
2307,971,PANGUIPULLI
2308,972,HUAHUM
2309,973,LAGO VERDE
2310,974,APPELEG
2311,975,PAMPA ALTA
2312,976,HUEMULES
2313,977,CHILE CHICO
2314,978,BAKER
2315,979,DOROTEA
2316,980,CASAS VIEJAS
2317,981,MONTE AYMOND
2318,982,SAN SEBASTIAN
2319,983,COYHAIQUE ALTO
2320,984,TRIANA
2321,985,IBANEZ PALAVICINI
2322,986,VILLA OHIGGINS
2323,987,AEROP.CHACALLUTA
2324,988,AEROP.DIEGO ARACENA
2325,989,AEROP.CERRO MORENO
2326,990,AEROP.EL TEPUAL
2327,991,AEROP.C.I.DEL CAMPO
2328,992,AEROP.A.M.BENITEZ
2329,993,CAP HUACHIPATO
2330,994,ARICA-TACNA
2331,995,ARICA-LA PAZ
2332,996,TERM. PETROLERO ENAP
2333,997,OTROS PTOS. CHILENOS
2334,998,PASO JAMA
